Fecha;Sensor 1;Sensor 2;Sensor 3
10:53:30 29-7-2024;19,44;-2,50;-2,50
10:53:32 29-7-2024;19,44;-2,50;-2,50
10:53:34 29-7-2024;19,44;-2,50;-2,50
10:53:36 29-7-2024;19,44;-2,50;-2,50
10:53:38 29-7-2024;19,44;-2,50;-2,50
10:53:40 29-7-2024;19,44;-2,50;-2,50
10:53:42 29-7-2024;19,44;-2,50;-2,50
10:53:44 29-7-2024;19,44;-2,50;-2,50
10:53:46 29-7-2024;19,44;-2,50;-2,50
10:53:48 29-7-2024;19,44;-2,50;-2,50
10:53:50 29-7-2024;19,42;-2,50;-2,50
10:53:52 29-7-2024;19,42;-2,50;-2,50
10:53:54 29-7-2024;19,42;-2,50;-2,50
10:53:56 29-7-2024;19,42;-2,50;-2,50
10:53:58 29-7-2024;19,42;-2,50;-2,50
10:54:0 29-7-2024;19,42;-2,50;-2,50
10:54:2 29-7-2024;19,41;-2,50;-2,50
10:54:4 29-7-2024;19,41;-2,50;-2,50
10:54:6 29-7-2024;19,39;-2,50;-2,50
10:54:8 29-7-2024;19,37;-2,50;-2,50
10:54:10 29-7-2024;19,37;-2,50;-2,50
10:54:12 29-7-2024;19,37;-2,50;-2,50
10:54:14 29-7-2024;19,35;-2,50;-2,50
10:54:16 29-7-2024;19,35;-2,50;-2,50
10:54:18 29-7-2024;19,37;-2,50;-2,50
10:54:20 29-7-2024;19,35;-2,50;-2,50
10:54:22 29-7-2024;19,33;-2,50;-2,50
10:54:24 29-7-2024;19,32;-2,50;-2,50
10:54:26 29-7-2024;19,32;-2,50;-2,50
10:54:28 29-7-2024;19,32;-2,50;-2,50
10:54:30 29-7-2024;19,32;-2,50;-2,50
10:54:32 29-7-2024;19,32;-2,50;-2,50
10:54:34 29-7-2024;19,32;-2,50;-2,50
10:54:36 29-7-2024;19,32;-2,50;-2,50
10:54:38 29-7-2024;19,32;-2,50;-2,50
10:54:40 29-7-2024;19,32;-2,50;-2,50
10:54:42 29-7-2024;19,32;-2,50;-2,50
10:54:44 29-7-2024;19,32;-2,50;-2,50
10:54:46 29-7-2024;19,32;-2,50;-2,50
10:54:48 29-7-2024;19,32;-2,50;-2,50
10:54:50 29-7-2024;19,32;-2,50;-2,50
10:54:52 29-7-2024;19,32;-2,50;-2,50
10:54:54 29-7-2024;19,32;-2,50;-2,50
10:54:56 29-7-2024;19,32;-2,50;-2,50
10:54:58 29-7-2024;19,35;-2,50;-2,50
10:55:0 29-7-2024;19,39;-2,50;-2,50
10:55:2 29-7-2024;19,42;-2,50;-2,50
10:55:4 29-7-2024;19,44;-2,50;-2,50
10:55:6 29-7-2024;19,44;-2,50;-2,50
10:55:8 29-7-2024;19,44;-2,50;-2,50
10:55:10 29-7-2024;19,44;-2,50;-2,50
10:55:12 29-7-2024;19,46;-2,50;-2,50
10:55:14 29-7-2024;19,46;-2,50;-2,50
10:55:16 29-7-2024;19,50;-2,50;-2,50
10:55:18 29-7-2024;19,51;-2,50;-2,50
10:55:20 29-7-2024;19,51;-2,50;-2,50
10:55:22 29-7-2024;19,51;-2,50;-2,50
10:55:24 29-7-2024;19,51;-2,50;-2,50
10:55:26 29-7-2024;19,53;-2,50;-2,50
10:55:28 29-7-2024;19,53;-2,50;-2,50
10:55:30 29-7-2024;19,55;-2,50;-2,50
10:55:32 29-7-2024;19,55;-2,50;-2,50
10:55:34 29-7-2024;19,55;-2,50;-2,50
10:55:36 29-7-2024;19,55;-2,50;-2,50
10:55:38 29-7-2024;19,57;-2,50;-2,50
10:55:40 29-7-2024;19,57;-2,50;-2,50
10:55:42 29-7-2024;19,57;-2,50;-2,50
10:55:44 29-7-2024;19,57;-2,50;-2,50
10:55:46 29-7-2024;19,57;-2,50;-2,50
10:55:48 29-7-2024;19,57;-2,50;-2,50
10:55:50 29-7-2024;19,57;-2,50;-2,50
10:55:52 29-7-2024;19,57;-2,50;-2,50
10:55:54 29-7-2024;19,60;-2,50;-2,50
10:55:56 29-7-2024;19,60;-2,50;-2,50
10:55:58 29-7-2024;19,60;-2,50;-2,50
10:56:0 29-7-2024;19,62;-2,50;-2,50
10:56:2 29-7-2024;19,62;-2,50;-2,50
